dates,calls,snwd
2020-09-02,48,0.0
2020-09-03,28,0.0
2020-09-04,41,0.0
2020-09-05,32,0.0
2020-09-06,29,0.0
2020-09-07,34,0.0
2020-09-08,43,0.0
2020-09-09,32,0.0
2020-09-10,53,0.0
2020-09-11,57,0.0
2020-09-12,41,0.0
2020-09-13,32,0.0
2020-09-14,62,0.0
2020-09-15,49,0.0
2020-09-16,42,0.0
2020-09-17,51,0.0
2020-09-18,53,0.0
2020-09-19,34,0.0
2020-09-20,21,0.0
2020-09-21,43,0.0
2020-09-22,53,0.0
2020-09-23,36,0.0
2020-09-24,33,0.0
2020-09-25,42,0.0
2020-09-26,27,0.0
2020-09-27,20,0.0
2020-09-28,44,0.0
2020-09-29,41,0.0
2020-09-30,54,0.0
2020-10-01,46,0.0
2020-10-02,31,0.0
2020-10-03,12,0.0
2020-10-04,25,0.0
2020-10-05,65,0.0
2020-10-06,43,0.0
2020-10-07,47,0.0
2020-10-08,44,0.0
2020-10-09,27,0.0
2020-10-10,29,0.0
2020-10-11,14,0.0
2020-10-12,38,0.0
2020-10-13,44,0.0
2020-10-14,51,0.0
2020-10-15,45,0.0
2020-10-16,46,0.0
2020-10-17,30,0.0
2020-10-18,31,0.0
2020-10-19,32,0.0
2020-10-20,38,0.0
2020-10-21,30,0.0
2020-10-22,47,0.0
2020-10-23,52,0.0
2020-10-24,22,0.0
2020-10-25,12,0.0
2020-10-26,42,2.0
2020-10-27,42,0.0
2020-10-28,49,0.0
2020-10-29,43,0.0
2020-10-30,46,0.0
2020-10-31,20,0.0
2020-11-01,18,0.0
2020-11-02,40,0.0
2020-11-03,41,0.0
2020-11-04,41,0.0
2020-11-05,35,0.0
2020-11-06,36,0.0
2020-11-07,24,0.0
2020-11-08,30,0.0
2020-11-09,41,0.0
2020-11-10,48,0.0
2020-11-11,44,0.0
2020-11-12,41,0.0
2020-11-13,38,1.0
2020-11-14,19,1.0
2020-11-15,23,0.0
2020-11-16,47,0.0
2020-11-17,44,0.0
2020-11-18,39,0.0
2020-11-19,57,0.0
2020-11-20,40,0.0
2020-11-21,31,0.0
2020-11-22,20,0.0
2020-11-23,40,0.0
2020-11-24,46,0.0
2020-11-25,36,1.0
2020-11-26,26,0.0
2020-11-27,32,0.0
2020-11-28,31,0.0
2020-11-29,26,0.0
2020-11-30,47,0.0
2020-12-01,43,0.0
2020-12-02,45,0.0
2020-12-03,29,0.0
2020-12-04,42,0.0
2020-12-05,38,0.0
2020-12-06,27,0.0
2020-12-07,50,0.0
2020-12-08,32,0.0
2020-12-09,38,0.0
2020-12-10,33,0.0
2020-12-11,37,0.0
2020-12-12,33,0.0
2020-12-13,18,0.0
2020-12-14,38,0.0
2020-12-15,43,0.0
2020-12-16,44,0.0
2020-12-17,42,0.0
2020-12-18,50,0.0
2020-12-19,31,0.0
2020-12-20,29,0.0
2020-12-21,56,0.0
2020-12-22,45,0.0
2020-12-23,40,0.0
2020-12-24,26,0.0
2020-12-25,26,0.0
2020-12-26,29,0.0
2020-12-27,19,0.0
2020-12-28,49,3.0
2020-12-29,41,3.0
2020-12-30,54,4.0
2020-12-31,34,3.0
2021-01-01,27,3.0
2021-01-02,17,3.0
2021-01-03,21,3.0
2021-01-04,46,3.0
2021-01-05,41,3.0
2021-01-06,40,3.0
2021-01-07,34,3.0
2021-01-08,42,3.0
2021-01-09,26,3.0
2021-01-10,21,3.0
2021-01-11,34,3.0
2021-01-12,59,3.0
2021-01-13,34,3.0
2021-01-14,40,3.0
2021-01-15,27,4.0
2021-01-16,35,3.0
2021-01-17,22,4.0
2021-01-18,43,3.0
2021-01-19,44,3.0
2021-01-20,44,3.0
2021-01-21,42,3.0
2021-01-22,28,3.0
2021-01-23,22,3.0
2021-01-24,22,6.0
2021-01-25,30,6.0
2021-01-26,36,6.0
2021-01-27,37,6.0
2021-01-28,44,6.0
2021-01-29,50,6.0
2021-01-30,28,5.0
2021-01-31,23,6.0
2021-02-01,51,6.0
2021-02-02,44,5.0
2021-02-03,48,5.0
2021-02-04,34,5.0
2021-02-05,35,11.0
2021-02-06,32,11.0
2021-02-07,15,11.0
2021-02-08,44,11.0
2021-02-09,48,10.0
2021-02-10,37,9.0
2021-02-11,37,9.0
2021-02-12,50,9.0
2021-02-13,33,9.0
2021-02-14,22,10.0
2021-02-15,37,8.0
2021-02-16,41,8.0
2021-02-17,36,8.0
2021-02-18,33,8.0
2021-02-19,31,8.0
2021-02-20,40,8.0
2021-02-21,27,8.0
2021-02-22,33,10.0
2021-02-23,25,10.0
2021-02-24,26,8.0
2021-02-25,31,6.0
2021-02-26,28,6.0
2021-02-27,23,6.0
2021-02-28,24,5.0
2021-03-01,47,5.0
2021-03-02,35,5.0
2021-03-03,31,5.0
2021-03-04,38,4.0
2021-03-05,28,4.0
2021-03-06,27,4.0
2021-03-07,27,3.0
2021-03-08,44,2.0
2021-03-09,53,1.0
2021-03-10,37,0.0
2021-03-11,28,0.0
2021-03-12,27,0.0
2021-03-13,16,0.0
2021-03-14,18,0.0
2021-03-15,26,0.0
2021-03-16,45,1.0
2021-03-17,30,0.0
2021-03-18,34,0.0
2021-03-19,39,0.0
2021-03-20,15,0.0
2021-03-21,18,0.0
2021-03-22,33,0.0
2021-03-23,43,0.0
2021-03-24,40,0.0
2021-03-25,38,0.0
2021-03-26,29,0.0
2021-03-27,21,0.0
2021-03-28,13,0.0
2021-03-29,40,0.0
2021-03-30,31,0.0
2021-03-31,28,0.0
2021-04-01,33,0.0
2021-04-02,34,0.0
2021-04-03,16,0.0
2021-04-04,15,0.0
2021-04-05,35,0.0
2021-04-06,34,0.0
2021-04-07,32,0.0
2021-04-08,32,0.0
2021-04-09,35,0.0
2021-04-10,22,0.0
2021-04-11,19,0.0
2021-04-12,42,0.0
2021-04-13,29,0.0
2021-04-14,30,0.0
2021-04-15,36,0.0
2021-04-16,36,0.0
2021-04-17,21,0.0
2021-04-18,18,0.0
2021-04-19,43,0.0
2021-04-20,39,0.0
2021-04-21,37,0.0
2021-04-22,40,0.0
2021-04-23,31,0.0
2021-04-24,28,0.0
2021-04-25,18,0.0
2021-04-26,25,0.0
2021-04-27,33,0.0
2021-04-28,33,0.0
2021-04-29,25,0.0
2021-04-30,34,0.0
2021-05-01,13,0.0
2021-05-02,16,0.0
2021-05-03,26,0.0
2021-05-04,36,0.0
2021-05-05,28,0.0
2021-05-06,20,0.0
2021-05-07,32,0.0
2021-05-08,26,0.0
2021-05-09,14,0.0
2021-05-10,33,0.0
2021-05-11,35,0.0
2021-05-12,50,0.0
2021-05-13,29,0.0
2021-05-14,38,0.0
2021-05-15,7,0.0
2021-05-16,30,0.0
2021-05-17,29,0.0
2021-05-18,32,0.0
2021-05-19,26,0.0
2021-05-20,28,0.0
2021-05-21,39,0.0
2021-05-22,18,0.0
2021-05-23,17,0.0
2021-05-24,46,0.0
2021-05-25,31,0.0
2021-05-26,41,0.0
2021-05-27,41,0.0
2021-05-28,48,0.0
2021-05-29,26,0.0
2021-05-30,21,0.0
2021-05-31,22,0.0
2021-06-01,33,0.0
2021-06-02,34,0.0
2021-06-03,22,0.0
2021-06-04,37,0.0
2021-06-05,21,0.0
2021-06-06,28,0.0
2021-06-07,48,0.0
2021-06-08,35,0.0
2021-06-09,40,0.0
2021-06-10,24,0.0
2021-06-11,30,0.0
2021-06-12,33,0.0
2021-06-13,19,0.0
2021-06-14,36,0.0
2021-06-15,36,0.0
2021-06-16,37,0.0
2021-06-17,50,0.0
2021-06-18,29,0.0
2021-06-19,16,0.0
2021-06-20,10,0.0
2021-06-21,43,0.0
2021-06-22,41,0.0
2021-06-23,25,0.0
2021-06-24,29,0.0
2021-06-25,27,0.0
2021-06-26,9,0.0
2021-06-27,14,0.0
2021-06-28,25,0.0
2021-06-29,27,0.0
2021-06-30,29,0.0
2021-07-01,29,0.0
2021-07-02,31,0.0
2021-07-03,23,0.0
2021-07-04,14,0.0
2021-07-05,16,0.0
2021-07-06,35,0.0
2021-07-07,36,0.0
2021-07-08,31,0.0
2021-07-09,32,0.0
2021-07-10,13,0.0
2021-07-11,20,0.0
2021-07-12,35,0.0
2021-07-13,40,0.0
2021-07-14,38,0.0
2021-07-15,34,0.0
2021-07-16,31,0.0
2021-07-17,24,0.0
2021-07-18,9,0.0
2021-07-19,30,0.0
2021-07-20,22,0.0
2021-07-21,23,0.0
2021-07-22,33,0.0
2021-07-23,28,0.0
2021-07-24,26,0.0
2021-07-25,17,0.0
2021-07-26,26,0.0
2021-07-27,33,0.0
2021-07-28,34,0.0
2021-07-29,31,0.0
2021-07-30,37,0.0
2021-07-31,20,0.0
2021-08-01,22,0.0
2021-08-02,43,0.0
2021-08-03,38,0.0
2021-08-04,46,0.0
2021-08-05,42,0.0
2021-08-06,38,0.0
2021-08-07,28,0.0
2021-08-08,19,0.0
2021-08-09,32,0.0
2021-08-10,29,0.0
2021-08-11,42,0.0
2021-08-12,38,0.0
2021-08-13,42,0.0
2021-08-14,41,0.0
2021-08-15,15,0.0
2021-08-16,32,0.0
2021-08-17,26,0.0
2021-08-18,27,0.0
2021-08-19,29,0.0
2021-08-20,39,0.0
2021-08-21,15,0.0
2021-08-22,15,0.0
2021-08-23,28,0.0
2021-08-24,38,0.0
2021-08-25,47,0.0
2021-08-26,26,0.0
2021-08-27,33,0.0
2021-08-28,20,0.0
2021-08-29,13,0.0
2021-08-30,31,0.0
2021-08-31,31,0.0
2021-09-01,39,0.0
2021-09-02,26,0.0
2021-09-03,26,0.0
2021-09-04,11,0.0
2021-09-05,18,0.0
2021-09-06,23,0.0
2021-09-07,36,0.0
2021-09-08,42,0.0
2021-09-09,40,0.0
2021-09-10,49,0.0
2021-09-11,20,0.0
2021-09-12,24,0.0
2021-09-13,39,0.0
2021-09-14,32,0.0
2021-09-15,41,0.0
2021-09-16,36,0.0
2021-09-17,29,0.0
2021-09-18,25,0.0
2021-09-19,20,0.0
2021-09-20,38,0.0
2021-09-21,44,0.0
2021-09-22,34,0.0
2021-09-23,47,0.0
2021-09-24,27,0.0
2021-09-25,22,0.0
2021-09-26,25,0.0
2021-09-27,37,0.0
2021-09-28,21,0.0
2021-09-29,30,0.0
2021-09-30,24,0.0
2021-10-01,28,0.0
2021-10-02,26,0.0
2021-10-03,24,0.0
2021-10-04,30,0.0
2021-10-05,27,0.0
2021-10-06,35,0.0
2021-10-07,30,0.0
2021-10-08,32,0.0
2021-10-09,25,0.0
2021-10-10,21,0.0
2021-10-11,46,0.0
2021-10-12,32,0.0
2021-10-13,32,0.0
2021-10-14,37,0.0
2021-10-15,31,0.0
2021-10-16,23,0.0
2021-10-17,20,0.0
2021-10-18,32,0.0
2021-10-19,28,0.0
2021-10-20,34,0.0
2021-10-21,32,0.0
2021-10-22,39,0.0
2021-10-23,21,0.0
2021-10-24,14,0.0
2021-10-25,39,0.0
2021-10-26,27,0.0
2021-10-27,24,0.0
2021-10-28,26,0.0
2021-10-29,26,0.0
2021-10-30,26,0.0
2021-10-31,10,0.0
2021-11-01,30,0.0
2021-11-02,24,0.0
2021-11-03,17,0.0
2021-11-04,22,0.0
2021-11-05,25,0.0
2021-11-06,19,0.0
2021-11-07,16,0.0
2021-11-08,34,0.0
2021-11-09,29,0.0
2021-11-10,41,0.0
2021-11-11,20,0.0
2021-11-12,31,0.0
2021-11-13,15,0.0
2021-11-14,10,4.0
2021-11-15,31,2.0
2021-11-16,41,1.0
2021-11-17,42,0.0
2021-11-18,36,0.0
2021-11-19,43,0.0
2021-11-20,23,0.0
2021-11-21,22,0.0
2021-11-22,31,0.0
2021-11-23,23,0.0
2021-11-24,29,0.0
2021-11-25,28,0.0
2021-11-26,22,0.0
2021-11-27,17,0.0
2021-11-28,23,0.0
2021-11-29,29,0.0
2021-11-30,35,0.0
2021-12-01,31,1.0
2021-12-02,30,0.0
2021-12-03,29,1.0
2021-12-04,20,0.0
2021-12-05,21,1.0
2021-12-06,36,3.0
2021-12-07,29,3.0
2021-12-08,41,4.0
2021-12-09,35,4.0
2021-12-10,32,5.0
2021-12-11,28,7.0
2021-12-12,22,7.0
2021-12-13,25,6.0
2021-12-14,31,5.0
2021-12-15,36,3.0
2021-12-16,36,0.0
2021-12-17,37,0.0
2021-12-18,16,0.0
2021-12-19,22,0.0
2021-12-20,29,0.0
2021-12-21,22,0.0
2021-12-22,13,0.0
2021-12-23,33,0.0
2021-12-24,23,0.0
2021-12-25,17,0.0
2021-12-26,14,0.0
2021-12-27,39,2.0
2021-12-28,26,1.0
2021-12-29,43,3.0
2021-12-30,25,3.0
2021-12-31,29,2.0
2022-01-01,14,2.0
2022-01-02,16,2.0
2022-01-03,22,2.0
2022-01-04,27,2.0
2022-01-05,26,3.0
2022-01-06,31,5.0
2022-01-07,37,5.0
2022-01-08,19,5.0
2022-01-09,15,5.0
2022-01-10,32,5.0
2022-01-11,23,4.0
2022-01-12,28,4.0
2022-01-13,35,4.0
2022-01-14,34,4.0
2022-01-15,20,4.0
2022-01-16,11,4.0
2022-01-17,26,4.0
2022-01-18,31,4.0
2022-01-19,32,4.0
2022-01-20,30,4.0
2022-01-21,29,4.0
2022-01-22,17,4.0
2022-01-23,16,5.0
2022-01-24,20,5.0
2022-01-25,32,4.0
2022-01-26,32,4.0
2022-01-27,18,4.0
2022-01-28,32,4.0
2022-01-29,20,4.0
2022-01-30,7,4.0
2022-01-31,27,4.0
2022-02-01,23,4.0
2022-02-02,22,4.0
2022-02-03,22,4.0
2022-02-04,28,4.0
2022-02-05,22,4.0
2022-02-06,11,4.0
2022-02-07,31,4.0
2022-02-08,36,4.0
2022-02-09,32,4.0
2022-02-10,28,4.0
2022-02-11,27,5.0
2022-02-12,15,5.0
2022-02-13,9,5.0
2022-02-14,19,4.0
2022-02-15,25,4.0
2022-02-16,32,3.0
2022-02-17,24,4.0
2022-02-18,19,4.0
2022-02-19,15,6.0
2022-02-20,17,6.0
2022-02-21,21,4.0
2022-02-22,22,4.0
2022-02-23,25,5.0
2022-02-24,22,5.0
2022-02-25,29,5.0
2022-02-26,13,5.0
2022-02-27,14,5.0
2022-02-28,27,5.0
2022-03-01,12,5.0
2022-03-02,19,5.0
2022-03-03,29,5.0
2022-03-04,20,5.0
2022-03-05,16,5.0
2022-03-06,17,4.0
2022-03-07,32,4.0
2022-03-08,23,4.0
2022-03-09,27,4.0
2022-03-10,22,4.0
2022-03-11,14,4.0
2022-03-12,18,4.0
2022-03-13,12,4.0
2022-03-14,25,3.0
2022-03-15,23,2.0
2022-03-16,14,1.0
2022-03-17,25,0.0
2022-03-18,16,0.0
2022-03-19,12,0.0
2022-03-20,16,0.0
2022-03-21,23,0.0
2022-03-22,20,0.0
2022-03-23,32,1.0
2022-03-24,27,0.0
2022-03-25,27,0.0
2022-03-26,24,0.0
2022-03-27,13,0.0
2022-03-28,31,0.0
2022-03-29,19,0.0
2022-03-30,36,0.0
2022-03-31,29,0.0
2022-04-01,20,0.0
2022-04-02,11,1.0
2022-04-03,11,0.0
2022-04-04,26,1.0
2022-04-05,29,0.0
2022-04-06,15,0.0
2022-04-07,25,0.0
2022-04-08,29,0.0
2022-04-09,18,0.0
2022-04-10,21,0.0
2022-04-11,29,0.0
2022-04-12,24,0.0
2022-04-13,21,0.0
2022-04-14,27,0.0
2022-04-15,31,0.0
2022-04-16,21,0.0
2022-04-17,12,0.0
2022-04-18,28,0.0
2022-04-19,34,0.0
2022-04-20,20,0.0
2022-04-21,29,0.0
2022-04-22,18,0.0
2022-04-23,11,0.0
2022-04-24,20,0.0
2022-04-25,19,0.0
2022-04-26,16,0.0
2022-04-27,31,0.0
2022-04-28,20,0.0
2022-04-29,28,0.0
2022-04-30,13,0.0
2022-05-01,12,0.0
2022-05-02,16,0.0
2022-05-03,29,0.0
2022-05-04,21,0.0
2022-05-05,17,0.0
2022-05-06,23,0.0
2022-05-07,23,0.0
2022-05-08,12,0.0
2022-05-09,24,0.0
2022-05-10,29,0.0
2022-05-11,32,0.0
2022-05-12,32,0.0
2022-05-13,28,0.0
2022-05-14,13,0.0
2022-05-15,13,0.0
2022-05-16,24,0.0
2022-05-17,35,0.0
2022-05-18,26,0.0
2022-05-19,27,0.0
2022-05-20,21,0.0
2022-05-21,22,0.0
2022-05-22,20,0.0
2022-05-23,26,0.0
2022-05-24,24,0.0
2022-05-25,29,0.0
2022-05-26,29,0.0
2022-05-27,21,0.0
2022-05-28,16,0.0
2022-05-29,19,0.0
2022-05-30,22,0.0
2022-05-31,20,0.0
2022-06-01,34,0.0
2022-06-02,18,0.0
2022-06-03,20,0.0
2022-06-04,19,0.0
2022-06-05,17,0.0
2022-06-06,24,0.0
2022-06-07,41,0.0
2022-06-08,29,0.0
2022-06-09,17,0.0
2022-06-10,19,0.0
2022-06-11,18,0.0
2022-06-12,17,0.0
2022-06-13,31,0.0
2022-06-14,28,0.0
2022-06-15,26,0.0
2022-06-16,19,0.0
2022-06-17,26,0.0
2022-06-18,24,0.0
2022-06-19,12,0.0
2022-06-20,27,0.0
2022-06-21,21,0.0
2022-06-22,18,0.0
2022-06-23,25,0.0
2022-06-24,40,0.0
2022-06-25,17,0.0
2022-06-26,12,0.0
2022-06-27,28,0.0
2022-06-28,33,0.0
2022-06-29,25,0.0
2022-06-30,29,0.0
2022-07-01,24,0.0
2022-07-02,14,0.0
2022-07-03,18,0.0
2022-07-04,16,0.0
2022-07-05,20,0.0
2022-07-06,24,0.0
2022-07-07,29,0.0
2022-07-08,27,0.0
2022-07-09,19,0.0
2022-07-10,16,0.0
2022-07-11,25,0.0
2022-07-12,29,0.0
2022-07-13,35,0.0
2022-07-14,34,0.0
2022-07-15,21,0.0
2022-07-16,15,0.0
2022-07-17,16,0.0
2022-07-18,23,0.0
2022-07-19,18,0.0
2022-07-20,24,0.0
2022-07-21,28,0.0
2022-07-22,28,0.0
2022-07-23,12,0.0
2022-07-24,18,0.0
2022-07-25,30,0.0
2022-07-26,34,0.0
2022-07-27,42,0.0
2022-07-28,20,0.0
2022-07-29,27,0.0
2022-07-30,18,0.0
2022-07-31,17,0.0
2022-08-01,35,0.0
2022-08-02,34,0.0
2022-08-03,24,0.0
2022-08-04,22,0.0
2022-08-05,21,0.0
2022-08-06,18,0.0
2022-08-07,18,0.0
2022-08-08,27,0.0
2022-08-09,21,0.0
2022-08-10,20,0.0
2022-08-11,24,0.0
2022-08-12,18,0.0
2022-08-13,13,0.0
2022-08-14,11,0.0
2022-08-15,19,0.0
2022-08-16,26,0.0
2022-08-17,25,0.0
2022-08-18,28,0.0
2022-08-19,27,0.0
2022-08-20,17,0.0
2022-08-21,8,0.0
2022-08-22,21,0.0
2022-08-23,25,0.0
2022-08-24,24,0.0
2022-08-25,17,0.0
2022-08-26,25,0.0
2022-08-27,20,0.0
2022-08-28,14,0.0
2022-08-29,25,0.0
2022-08-30,23,0.0
2022-08-31,17,0.0
2022-09-01,20,0.0
2022-09-02,23,0.0
2022-09-03,14,0.0
2022-09-04,22,0.0
2022-09-05,13,0.0
2022-09-06,29,0.0
2022-09-07,20,0.0
2022-09-08,20,0.0
2022-09-09,28,0.0
2022-09-10,17,0.0
2022-09-11,15,0.0
2022-09-12,23,0.0
2022-09-13,27,0.0
2022-09-14,13,0.0
2022-09-15,22,0.0
2022-09-16,13,0.0
2022-09-17,14,0.0
2022-09-18,8,0.0
2022-09-19,20,0.0
2022-09-20,19,0.0
2022-09-21,19,0.0
2022-09-22,23,0.0
2022-09-23,16,0.0
2022-09-24,20,0.0
2022-09-25,10,0.0
2022-09-26,30,0.0
2022-09-27,25,0.0
2022-09-28,19,0.0
2022-09-29,29,0.0
2022-09-30,15,0.0
2022-10-01,15,0.0
2022-10-02,13,0.0
2022-10-03,18,0.0
2022-10-04,28,0.0
2022-10-05,21,0.0
2022-10-06,13,0.0
2022-10-07,17,0.0
2022-10-08,14,0.0
2022-10-09,12,0.0
2022-10-10,18,0.0
2022-10-11,21,0.0
2022-10-12,26,0.0
2022-10-13,21,0.0
2022-10-14,20,0.0
2022-10-15,16,0.0
2022-10-16,11,0.0
2022-10-17,24,0.0
2022-10-18,23,0.0
2022-10-19,27,0.0
2022-10-20,30,0.0
2022-10-21,22,0.0
2022-10-22,17,0.0
2022-10-23,14,0.0
2022-10-24,23,0.0
2022-10-25,23,0.0
2022-10-26,23,0.0
2022-10-27,27,0.0
2022-10-28,35,0.0
2022-10-29,23,0.0
2022-10-30,13,0.0
2022-10-31,15,0.0
2022-11-01,25,0.0
2022-11-02,24,0.0
2022-11-03,28,0.0
2022-11-04,15,0.0
2022-11-05,13,0.0
2022-11-06,13,0.0
2022-11-07,31,0.0
2022-11-08,30,0.0
2022-11-09,24,0.0
2022-11-10,28,0.0
2022-11-11,17,0.0
2022-11-12,17,0.0
2022-11-13,13,0.0
2022-11-14,25,0.0
2022-11-15,25,1.0
2022-11-16,25,3.0
2022-11-17,33,1.0
2022-11-18,19,1.0
2022-11-19,15,1.0
2022-11-20,17,1.0
2022-11-21,26,1.384180790960452
2022-11-22,23,1.0
2022-11-23,19,1.0
2022-11-24,16,1.0
2022-11-25,21,0.0
2022-11-26,25,0.0
2022-11-27,12,0.0
2022-11-28,28,0.0
